Jurusan,IPK,Bidang_Minat,Keahlian_1,Keahlian_2,Keahlian_3,Kepemimpinan,Komunikasi,Kerja_Tim,Kreativitas,Berpikir_Kritis,Pemecahan_Masalah,Pengalaman_Magang,Pengalaman_Organisasi,Pengalaman_Kompetisi,Jumlah_Sertifikasi,Gaya_Kerja,Preferensi_Industri,Tujuan_Karier,Rekomendasi_Karier
Teknik Lingkungan,3.37,Manufaktur,Komunikasi,Komunikasi,Analisis Data,1.0,5.0,1.0,5.0,4.0,1.0,Ya,Ya,Ya,1.0,Onsite,Konsultan,Spesialis,Arsitek
Keperawatan,3.65,Keuangan,Desain Grafis,Komunikasi,Manajemen Proyek,5.0,3.0,1.0,2.0,4.0,3.0,Tidak,Ya,Ya,2.0,Remote,Kesehatan,Wirausaha,Ai Engineer
Ekonomi,3.81,Konsultan,Kepemimpinan,Python,Manajemen Proyek,5.0,1.0,4.0,1.0,5.0,3.0,Tidak,Ya,Ya,0.0,Onsite,Pendidikan,Peneliti,Ai Engineer
Kesehatan Masyarakat,3.83,Keuangan,Kepemimpinan,Manajemen Proyek,Machine Learning,3.0,3.0,3.0,2.0,3.0,1.0,Ya,Ya,Ya,3.0,Hybrid,Manufaktur,Manajer,Jurnalis
Akuntansi,3.8,Teknologi,Komunikasi,Python,Machine Learning,4.0,3.0,1.0,2.0,5.0,3.0,Ya,Tidak,Tidak,5.0,Hybrid,Keuangan,Peneliti,Software Engineer
Psikologi,3.68,Keuangan,Kepemimpinan,Pemasaran Digital,Desain Grafis,5.0,4.0,3.0,2.0,2.0,5.0,Tidak,Ya,Ya,0.0,Remote,Keuangan,Wirausaha,Animator
Teknik Sipil,3.23,Konsultan,Manajemen Proyek,Riset,Kepemimpinan,5.0,1.0,1.0,3.0,3.0,3.0,Ya,Tidak,Tidak,1.0,Hybrid,Teknologi,Peneliti,Arsitek
Kedokteran,3.38,Kesehatan,Kepemimpinan,Riset,Pemasaran Digital,2.0,2.0,3.0,2.0,5.0,5.0,Ya,Tidak,Tidak,0.0,Remote,Pemerintahan,Peneliti,Business Analyst
Teknik Mesin,3.05,Konsultan,Sql,Sql,Manajemen Proyek,1.0,5.0,2.0,2.0,4.0,5.0,Ya,Tidak,Tidak,1.0,Onsite,Pemerintahan,Peneliti,Akuntan
Bisnis Digital,3.3,Pertanian,Manajemen Proyek,Sql,Komunikasi,2.0,1.0,3.0,1.0,5.0,5.0,Ya,Ya,Ya,0.0,Onsite,Teknologi,Manajer,Ai Engineer
Teknik Elektro,3.82,Kesehatan,Riset,Komunikasi,Kepemimpinan,4.0,2.0,5.0,2.0,5.0,5.0,Tidak,Ya,Tidak,3.0,Remote,Kesehatan,Spesialis,Jurnalis
Dkv,3.19,Pariwisata,Manajemen Proyek,Python,Sql,1.0,4.0,3.0,1.0,2.0,2.0,Ya,Tidak,Ya,3.0,Remote,Manufaktur,Wirausaha,Business Analyst
Teknik Sipil,3.3,Pertanian,Sql,Python,Riset,1.0,1.0,2.0,2.0,4.0,4.0,Tidak,Ya,Tidak,0.0,Remote,Pariwisata,Spesialis,Akuntan
Hukum,3.91,Media,Kepemimpinan,Desain Grafis,Riset,4.0,2.0,2.0,3.0,2.0,1.0,Ya,Tidak,Ya,0.0,Onsite,Media,Manajer,Data Scientist
Agroteknologi,3.37,Keuangan,Sql,Pemasaran Digital,Sql,2.0,4.0,3.0,5.0,2.0,5.0,Ya,Ya,Tidak,5.0,Onsite,Konsultan,Peneliti,Dokter
Farmasi,3.59,Pemerintahan,Komunikasi,Kepemimpinan,Desain Grafis,2.0,3.0,4.0,3.0,1.0,1.0,Tidak,Ya,Ya,4.0,Remote,Pertanian,Peneliti,Software Engineer
Ekonomi,3.85,Pendidikan,Machine Learning,Kepemimpinan,Analisis Data,4.0,3.0,3.0,5.0,5.0,1.0,Tidak,Ya,Ya,2.0,Remote,Kesehatan,Manajer,Dokter
Hubungan Internasional,3.51,Pemerintahan,Komunikasi,Kepemimpinan,Riset,4.0,3.0,1.0,1.0,4.0,3.0,Ya,Ya,Tidak,1.0,Onsite,Manufaktur,Manajer,Diplomat
Animasi,3.44,Pariwisata,Riset,Python,Sql,1.0,2.0,5.0,1.0,3.0,5.0,Ya,Tidak,Tidak,0.0,Hybrid,Pemerintahan,Spesialis,Perawat
Matematika,3.23,Teknologi,Manajemen Proyek,Komunikasi,Komunikasi,4.0,3.0,3.0,2.0,2.0,1.0,Ya,Tidak,Tidak,2.0,Remote,Manufaktur,Peneliti,Jurnalis
Agroteknologi,3.25,Pertanian,Machine Learning,Python,Sql,3.0,2.0,5.0,3.0,1.0,1.0,Tidak,Tidak,Tidak,3.0,Onsite,Pertanian,Spesialis,Akuntan
Pariwisata,2.99,Teknologi,Desain Grafis,Python,Riset,5.0,2.0,3.0,3.0,1.0,3.0,Tidak,Ya,Tidak,4.0,Hybrid,Pariwisata,Peneliti,Akuntan
Hubungan Internasional,3.44,Pendidikan,Desain Grafis,Desain Grafis,Analisis Data,5.0,5.0,3.0,4.0,5.0,1.0,Tidak,Tidak,Ya,3.0,Onsite,Konsultan,Peneliti,Guru
Animasi,3.3,Pendidikan,Riset,Manajemen Proyek,Kepemimpinan,1.0,3.0,5.0,5.0,3.0,1.0,Ya,Tidak,Ya,1.0,Remote,Teknologi,Spesialis,Business Analyst
Arsitektur,3.51,Kesehatan,Manajemen Proyek,Desain Grafis,Pemasaran Digital,2.0,4.0,4.0,4.0,2.0,2.0,Ya,Ya,Tidak,3.0,Remote,Pertanian,Wirausaha,Data Scientist
Teknologi Pangan,3.06,Kesehatan,Manajemen Proyek,Analisis Data,Manajemen Proyek,3.0,5.0,5.0,3.0,4.0,5.0,Tidak,Tidak,Ya,5.0,Hybrid,Media,Peneliti,Konsultan
Psikologi,3.8,Manufaktur,Riset,Manajemen Proyek,Komunikasi,3.0,4.0,1.0,3.0,2.0,3.0,Tidak,Tidak,Ya,1.0,Remote,Pendidikan,Wirausaha,Diplomat
Kimia,3.63,Kesehatan,Desain Grafis,Desain Grafis,Machine Learning,5.0,4.0,4.0,1.0,2.0,4.0,Tidak,Ya,Tidak,3.0,Remote,Pemerintahan,Peneliti,Konsultan
Pendidikan Matematika,3.82,Pariwisata,Riset,Riset,Pemasaran Digital,2.0,4.0,2.0,3.0,4.0,4.0,Ya,Tidak,Tidak,5.0,Onsite,Pariwisata,Manajer,Analis Data
Film,3.9,Konsultan,Riset,Python,Desain Grafis,5.0,5.0,1.0,1.0,4.0,2.0,Tidak,Ya,Tidak,2.0,Hybrid,Pemerintahan,Manajer,Guru
Akuntansi,3.17,Pariwisata,Kepemimpinan,Desain Grafis,Kepemimpinan,1.0,4.0,3.0,5.0,1.0,3.0,Ya,Ya,Ya,0.0,Remote,Pendidikan,Spesialis,Animator
Kimia,3.05,Media,Sql,Pemasaran Digital,Komunikasi,4.0,3.0,3.0,2.0,5.0,5.0,Ya,Ya,Tidak,0.0,Onsite,Teknologi,Peneliti,Animator
Pendidikan Matematika,3.25,Pendidikan,Sql,Pemasaran Digital,Komunikasi,1.0,3.0,5.0,1.0,5.0,1.0,Tidak,Tidak,Tidak,0.0,Onsite,Pemerintahan,Spesialis,Analis Data
